rel,statut,level,level_conf,type,type_src,pages,chars,math_score,lycee_score,corrupt
9eme/mathematiques/exercices/2-9-2023-2024-9.pdf,VALIDE,9e,CERTAIN,CONTROLE,CONTENU,1,713,4,0,0.0
9eme/mathematiques/exercices/2-9-2023-2024.pdf,HORS_MATIERE:arabe,9e,CERTAIN,CONTROLE,CONTENU,3,2901,3,0,0.0
9eme/mathematiques/exercices/3-9--2.pdf,VALIDE,9e,CERTAIN,SYNTHESE,CONTENU,3,2278,4,1,0.005
9eme/mathematiques/exercices/3-9--3.pdf,CONTENU_MATH_FAIBLE,9e,CERTAIN,SERIE,DOSSIER,5,6633,0,0,0.0
9eme/mathematiques/exercices/3-9--4.pdf,CONTENU_MATH_FAIBLE,9e,CERTAIN,SERIE,DOSSIER,1,529,0,0,0.0
9eme/mathematiques/exercices/3-9--5.pdf,CONTENU_MATH_FAIBLE,9e,CERTAIN,SERIE,DOSSIER,1,924,0,0,0.0
9eme/mathematiques/exercices/3-9--6.pdf,VALIDE,9e,CERTAIN,SYNTHESE,CONTENU,2,936,4,0,0.0
9eme/mathematiques/exercices/3-9--7.pdf,VALIDE,9e,CERTAIN,SERIE,DOSSIER,2,2248,2,0,0.0
9eme/mathematiques/exercices/3-9-.pdf,VALIDE,9e,CERTAIN,SERIE,DOSSIER,2,1300,11,1,0.0
9eme/mathematiques/exercices/3-9-1.pdf,VALIDE,9e,CERTAIN,SYNTHESE,CONTENU,3,2233,3,0,0.002
9eme/mathematiques/exercices/3-9-2-2.pdf,VALIDE,9e,CERTAIN,SERIE,DOSSIER,2,1665,2,0,0.0
9eme/mathematiques/exercices/3-9-2-3.pdf,VALIDE,9e,CERTAIN,SYNTHESE,CONTENU,3,3605,4,0,0.0
9eme/mathematiques/exercices/3-9-2.pdf,CONTENU_MATH_FAIBLE,9e,CERTAIN,CORRIGE,CONTENU,1,932,1,1,0.005
9eme/mathematiques/exercices/3-9-2008-2009--2.pdf,VALIDE,9e,CERTAIN,SYNTHESE,CONTENU,1,527,2,1,0.0
9eme/mathematiques/exercices/3-9-2008-2009-.pdf,VALIDE,9e,CERTAIN,SERIE,DOSSIER,3,3151,2,0,0.001
9eme/mathematiques/exercices/3-9-2008-2009-2.pdf,CONTENU_MATH_FAIBLE,9e,CERTAIN,SYNTHESE,CONTENU,1,499,1,0,0.0
9eme/mathematiques/exercices/3-9-2009-2010--2.pdf,VALIDE,9e,CERTAIN,SYNTHESE,CONTENU,1,492,2,0,0.0
9eme/mathematiques/exercices/3-9-2009-2010--3.pdf,MIXTE_college_lycee,9e,CERTAIN,SYNTHESE,CONTENU,3,3744,5,2,0.003
9eme/mathematiques/exercices/3-9-2009-2010--4.pdf,CONTENU_MATH_FAIBLE,9e,CERTAIN,SERIE,DOSSIER,3,3807,0,0,0.0
9eme/mathematiques/exercices/3-9-2009-2010-.pdf,CONTENU_MATH_FAIBLE,9e,CERTAIN,SERIE,DOSSIER,3,3343,1,1,0.003
9eme/mathematiques/exercices/3-9-2009-2010-1-2.pdf,CONTENU_MATH_FAIBLE,9e,CERTAIN,SERIE,DOSSIER,1,1862,0,0,0.0
9eme/mathematiques/exercices/3-9-2009-2010-1.pdf,CONTENU_MATH_FAIBLE,9e,CERTAIN,SERIE,DOSSIER,1,1630,0,0,0.0
9eme/mathematiques/exercices/3-9-2009-2010-2-2.pdf,CONTENU_MATH_FAIBLE,9e,CERTAIN,SERIE,DOSSIER,1,1447,0,0,0.0
9eme/mathematiques/exercices/3-9-2009-2010-2.pdf,CONTENU_MATH_FAIBLE,9e,CERTAIN,SERIE,DOSSIER,1,1727,0,0,0.0
9eme/mathematiques/exercices/3-9-2010-2011-.pdf,CONTENU_MATH_FAIBLE,9e,CERTAIN,SYNTHESE,CONTENU,3,2837,1,0,0.002
9eme/mathematiques/exercices/3-9-2012-2011-.pdf,CONTENU_MATH_FAIBLE,9e,CERTAIN,SERIE,DOSSIER,3,9252,0,0,0.008
9eme/mathematiques/exercices/3-9-2013-2012-.pdf,HORS_MATIERE:arabe,9e,CERTAIN,SYNTHESE,CONTENU,3,7259,2,0,0.002
9eme/mathematiques/exercices/3-9-2013-2014-.pdf,VALIDE,9e,CERTAIN,SYNTHESE,CONTENU,3,11780,4,0,0.0
9eme/mathematiques/exercices/3-9-2014-2013--2.pdf,VALIDE,9e,CERTAIN,SYNTHESE,CONTENU,1,1963,2,0,0.0
9eme/mathematiques/exercices/3-9-2014-2013--3.pdf,VALIDE,9e,CERTAIN,SERIE,DOSSIER,3,12631,5,1,0.0
9eme/mathematiques/exercices/3-9-2014-2013--4.pdf,VALIDE,9e,CERTAIN,CONTROLE,CONTENU,1,1691,2,0,0.0
9eme/mathematiques/exercices/3-9-2014-2013-.pdf,VALIDE,9e,CERTAIN,SERIE,DOSSIER,3,13026,3,0,0.0
9eme/mathematiques/exercices/3-9-2014-2015-.pdf,VALIDE,9e,CERTAIN,SERIE,DOSSIER,6,15826,8,1,0.001
9eme/mathematiques/exercices/3-9-2015-2016--2.pdf,CONTENU_MATH_FAIBLE,9e,CERTAIN,SERIE,DOSSIER,2,6128,0,0,0.001
9eme/mathematiques/exercices/3-9-2015-2016-.pdf,CONTENU_MATH_FAIBLE,9e,CERTAIN,SERIE,DOSSIER,1,737,0,0,0.003
9eme/mathematiques/exercices/3-9-2018-2019-.pdf,VALIDE,9e,CERTAIN,SYNTHESE,CONTENU,3,8251,2,0,0.0
9eme/mathematiques/exercices/3-9-2022-2023-2.pdf,VALIDE,9e,CERTAIN,SERIE,DOSSIER,3,2172,2,1,0.002
9eme/mathematiques/exercices/3-9-2022-2023.pdf,VALIDE,9e,CERTAIN,SERIE,DOSSIER,3,2247,3,0,0.0
9eme/mathematiques/exercices/3-9-2023-2024-.pdf,VALIDE,9e,CERTAIN,CONTROLE,CONTENU,2,1359,4,0,0.0
9eme/mathematiques/exercices/3-9-2023-2024-2-.pdf,VALIDE,9e,CERTAIN,SERIE,DOSSIER,4,4340,5,0,0.0
9eme/mathematiques/exercices/3-9-2023-2024-2.pdf,VALIDE,9e,CERTAIN,CONTROLE,CONTENU,2,606,3,0,0.008
9eme/mathematiques/exercices/3-9-2023-2024.pdf,HORS_MATIERE:histgeo,9e,CERTAIN,SERIE,DOSSIER,4,4235,2,1,0.0
9eme/mathematiques/exercices/3-9-2024-2025-stamped.pdf,VALIDE,9e,CERTAIN,SERIE,DOSSIER,3,6694,6,1,0.0
9eme/mathematiques/exercices/3-9.pdf,CONTENU_MATH_FAIBLE,9e,CERTAIN,SYNTHESE,CONTENU,2,1862,1,1,0.004
9eme/mathematiques/exercices/4-9-.pdf,VALIDE,9e,CERTAIN,SERIE,DOSSIER,2,1324,12,1,0.0
9eme/mathematiques/exercices/9--10.pdf,CONTENU_MATH_FAIBLE,9e,INCERTAIN,SERIE,DOSSIER,2,1463,1,0,0.0
9eme/mathematiques/exercices/9--11.pdf,CONTENU_MATH_FAIBLE,9e,INCERTAIN,SERIE,DOSSIER,1,498,0,0,0.0
9eme/mathematiques/exercices/9--12.pdf,VALIDE,9e,INCERTAIN,SERIE,DOSSIER,1,578,4,0,0.0
9eme/mathematiques/exercices/9--13.pdf,VALIDE,9e,CERTAIN,SERIE,CONTENU,1,1004,12,1,0.0
9eme/mathematiques/exercices/9--14.pdf,VALIDE,9e,INCERTAIN,SERIE,DOSSIER,4,2687,2,0,0.01
9eme/mathematiques/exercices/9--15.pdf,VALIDE,9e,INCERTAIN,SERIE,DOSSIER,1,1049,6,0,0.0
9eme/mathematiques/exercices/9--16.pdf,VALIDE,9e,CERTAIN,SERIE,CONTENU,2,1749,11,0,0.0
9eme/mathematiques/exercices/9--17.pdf,CONTENU_MATH_FAIBLE,9e,INCERTAIN,SERIE,DOSSIER,1,387,0,0,0.0
9eme/mathematiques/exercices/9--18.pdf,VALIDE,9e,INCERTAIN,SERIE,DOSSIER,46,5062,2,0,0.002
9eme/mathematiques/exercices/9--19.pdf,CONTENU_MATH_FAIBLE,9e,INCERTAIN,SERIE,DOSSIER,3,7166,0,0,0.0
9eme/mathematiques/exercices/9--2.pdf,VALIDE,9e,CERTAIN,SERIE,CONTENU,2,1345,12,0,0.001
9eme/mathematiques/exercices/9--20.pdf,CONTENU_MATH_FAIBLE,9e,INCERTAIN,SERIE,DOSSIER,1,3047,0,0,0.001
9eme/mathematiques/exercices/9--21.pdf,CONTENU_MATH_FAIBLE,9e,INCERTAIN,SERIE,DOSSIER,3,357,0,0,0.008
9eme/mathematiques/exercices/9--22.pdf,CONTENU_MATH_FAIBLE,9e,CERTAIN,SERIE,DOSSIER,3,228,0,0,0.0
9eme/mathematiques/exercices/9--23.pdf,CONTENU_MATH_FAIBLE,9e,INCERTAIN,SERIE,DOSSIER,1,1985,0,0,0.002
9eme/mathematiques/exercices/9--3.pdf,VALIDE,9e,INCERTAIN,SERIE,CONTENU,1,1062,6,0,0.009
9eme/mathematiques/exercices/9--4.pdf,CONTENU_MATH_FAIBLE,9e,INCERTAIN,SERIE,DOSSIER,1,371,0,0,0.0
9eme/mathematiques/exercices/9--5.pdf,VALIDE,9e,INCERTAIN,SERIE,DOSSIER,1,863,3,0,0.0
9eme/mathematiques/exercices/9--6.pdf,VALIDE,9e,CERTAIN,SERIE,DOSSIER,1,589,4,0,0.0
9eme/mathematiques/exercices/9--7.pdf,VALIDE,9e,INCERTAIN,SERIE,DOSSIER,1,1502,4,0,0.0
9eme/mathematiques/exercices/9--8.pdf,VALIDE,9e,INCERTAIN,SERIE,DOSSIER,1,916,4,0,0.0
9eme/mathematiques/exercices/9--9.pdf,VALIDE,9e,CERTAIN,SERIE,DOSSIER,2,1023,4,0,0.007
9eme/mathematiques/exercices/9-.pdf,VALIDE,9e,INCERTAIN,SERIE,DOSSIER,3,2308,18,0,0.0
9eme/mathematiques/exercices/9-1.pdf,CONTENU_MATH_FAIBLE,9e,INCERTAIN,SERIE,DOSSIER,2,8255,0,0,0.001
